Article title,Year,Author,terms,Synonym,Definition,Reference
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",pharming ,website | fake ,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing,,Attempts to acquire confidential information from a mass group of people by masquerading as a trustworthy source.,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | artifact,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | asset,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | asset | vulnerable,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | complex,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | complexity,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | countermeasure,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | countermeasure | entwinement,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | culprit,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence |effect,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence |effect |  enforcement,,,Willison and Warketin 2013
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence | effect |  government mandate,,,Png et al. 2008
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence | effect |  vulnerability disclosure,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence |  effect | attack diffusion,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence | method,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence | perimeter,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence | problem,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | defence | strategy,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | difusion,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | examination,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | identification,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | impact,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | impact | potential,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | form,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | future,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | future | defer,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | holistic,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | mass,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | mitigation,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | organisation ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | organisation | impact,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | organisation | impact | potential,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | successful,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | target,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attack | targeted,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attempt,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | attempt | unique ,,,APWG phishing trends report 4th quarter 2017.  http://docs.apwg.org/reports/apwg_trends_report_q4_2017.pdf
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | bypass,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | design,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | effective,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | effectiveness,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | influence,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | influence | tactic,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | intention ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | knowledge ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | knowledge | cybersecurity,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | motivation,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | motivation | behaviour,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | motivation | behaviour | protection ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | motivation | behaviour | protection |  asset ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | motivation | behaviour | protection |  asset |information,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | program ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | program | SETA,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | individual | training,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | auditing,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | governance,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | loss,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | loss | information,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | loss | information | confidential,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | network ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | policy,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | software,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | software | anti-phishing,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | software | anti-phishing | choice,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | organisational | software | anti-phishing  | cybersecurity,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | selection,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | technical,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | technical | blacklisting,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | technical | blocking,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | technical | software,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | technical | software | encryption,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | countermeasure | technical | firewall,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | email,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | evolution ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | evolution | dynamic,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | form,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | form | cloning,,Replicating a legitimate email and replacing the link or file with a malicious version.,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | form | pharming,,The practice of directing internet users to a bogus website that mimics a legitimate one to harvest confidential information,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | form | spear,,Attempts directed at specific individuals within a group using personal information as a means to increase success.,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | form | whaling,,"Directed specifically at senior executives or other high profile targets within a business by using highly customized threat intelligence (https://www.phishingbox.com/news/phishing-news/types-of-phishing-defined, https://csoonline.com/artcle-3234716/phishing/types-of-phishing-attacks-and-how-to-identify-them.html, https://www.antiphishing.org",
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | lifecycle | phase | breach | pre,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | lifecycle | phase | breach | during,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | lifecycle | phase | breach | post,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | instance,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | investment,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | kit ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | kit | free,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing |message ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing |message | effective ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing |message | effective | craft,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | message | general,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | impact,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | impact | evaluation,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | message ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | message | volume,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | payload,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | payoff,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | perimeter ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | perimeter | spillover,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | direction,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | direction | context specific theory,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | direction | countermeasure | intertwinement,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | direction | countermeasure | organisational,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | direction | countermeasure | saliency,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | method,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | method | analysis ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | method | analysis | psychometric,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | method | experiment ,,,
"A Taxonomy of Phishing: Attack Types Spanning Economic, Temporal, Breath, and Target Boundaries",2018,"Daile Pienta, Jason Bennet Thatcher, Allen C. Johnston",phishing | research | method | experiment | field,,,
